N,num_goldbach_pairs,rho_min,rho_mean,rho_max
4132,54,5.597742,6.796501,7.00105
4134,113,6.053305,7.15508,7.334062
4136,55,5.264845,6.482098,6.66821
4138,56,6.053299,7.144172,7.33415
4140,147,5.273431,6.30472,6.473624
4142,52,5.930746,7.154207,7.334209
4144,64,5.054688,6.153733,6.33566
4146,100,6.133957,7.135004,7.334299
4148,52,6.040156,6.848861,7.001333
4150,70,5.46946,6.377481,6.56162
4152,107,5.616612,6.484148,6.668837
4154,54,6.567583,7.174374,7.334258
4156,53,5.598023,6.793998,7.001741
4158,138,4.998533,6.10671,6.279793
4160,69,4.267217,5.469034,5.670864
4162,57,5.930787,7.11094,7.334612
4164,104,5.720586,6.816536,7.001976
4166,55,6.133882,7.145541,7.334689
4168,56,5.576823,6.494677,6.669454
4170,137,6.242082,7.159654,7.334765
4172,62,5.949435,6.833534,7.002205
4174,47,6.346144,7.143017,7.334842
4176,108,4.82135,5.638878,5.810105
4178,52,6.372671,7.18098,7.334918
4180,81,5.598302,6.805884,7.00243
4182,106,6.053234,7.159592,7.334991
4184,50,5.468847,6.480817,6.669982
4186,72,6.473421,7.164267,7.335069
4188,104,5.909515,6.829226,7.002662
4190,64,6.28189,7.151029,7.335051
4192,54,5.286913,5.850056,6.005543
4194,102,5.819127,6.632677,6.808389
4196,49,6.040114,6.806985,7.002879
4198,53,6.555589,7.167585,7.335299
4200,165,4.9817,5.735026,5.899017
4202,54,6.56683,7.173679,7.335367
4204,50,5.598578,6.829491,7.003037
4206,105,6.053199,7.16587,7.335388
4208,45,5.136958,6.144033,6.338417
4210,66,6.61624,7.191142,7.335524
4212,107,4.329921,5.263378,5.423685
4214,62,4.998291,6.222393,6.40297
4216,54,5.388824,6.509152,6.671256
4218,116,6.133688,7.175992,7.335656
4220,68,5.598761,6.826531,7.003549
4222,56,5.930908,7.134561,7.335753
4224,112,4.060545,5.167136,5.343162
4226,53,6.133658,7.163952,7.335828
4228,63,5.909624,6.83316,7.003787
4230,137,5.715393,6.634441,6.809606
4232,51,3.764913,4.960867,5.169887
4234,55,5.930932,7.134414,7.335909
4236,105,5.721164,6.810059,7.004005
4238,57,6.133614,7.14369,7.335498
4240,72,5.245747,6.157488,6.340224
4242,122,6.241597,7.169833,7.336125
4244,52,5.599035,6.814426,7.004245
4246,59,5.930956,7.127795,7.335829
4248,106,4.863363,5.949976,6.146457
4250,75,4.592456,5.626153,5.795157
4252,52,5.909688,6.833728,7.004462
4254,105,6.241517,7.165828,7.336343
4256,64,4.603757,5.815864,6.00916
4258,53,6.053124,7.119102,7.336428
4260,139,5.801766,6.830593,7.004698
4262,51,5.930987,7.12883,7.336502
4264,63,5.267531,6.445619,6.673056
4266,105,5.001612,6.098964,6.285075
4268,55,5.801811,6.838539,7.004921
4270,85,6.241411,7.156534,7.336649
4272,115,5.24643,6.160921,6.34172
4274,55,5.931011,7.136218,7.336725
4276,61,5.599396,6.790576,7.004895
4278,115,6.053096,7.148705,7.336799
4280,71,5.470297,6.496632,6.673673
4282,59,6.241332,7.137805,7.336874
4284,131,5.384288,6.299894,6.479881
4286,56,5.931035,7.142436,7.336948
4288,56,4.395544,5.485686,5.67924
4290,165,6.133424,7.161442,7.337018
4292,56,5.599576,6.810163,7.005576
4294,48,6.053073,7.125099,7.337094
4296,108,5.470535,6.489726,6.674264
4298,62,6.529764,7.193059,7.337162
4300,80,4.830186,6.033376,6.236124
4302,102,5.52784,6.600945,6.812016
4304,56,5.139293,6.150525,6.343196
4306,58,6.344886,7.151191,7.337317
4308,100,5.909838,6.8294,7.005998
4310,68,6.28096,7.165968,7.337361
4312,70,4.824121,5.562141,5.744648
4314,106,6.344811,7.152702,7.337463
4316,60,6.040009,6.843902,7.006228
4318,58,6.471717,7.160414,7.337419
4320,140,4.04187,4.796113,4.962782
4322,49,6.647524,7.189504,7.33761
4324,58,6.222519,6.834115,7.006337
4326,124,6.471615,7.178819,7.337556
4328,50,5.825129,6.501813,6.675153
4330,72,5.93112,7.152191,7.337446
4332,110,4.315413,5.424443,5.600178
4334,60,6.133266,7.164392,7.337764
4336,53,5.5926,6.197975,6.344588
4338,109,5.716265,6.656254,6.81313
4340,85,5.600109,6.832518,7.006904
4342,61,5.931144,7.125159,7.337886
4344,112,5.391015,6.499573,6.675975
4346,52,6.133223,7.182812,7.338003
4348,55,5.909943,6.846767,7.007072
4350,143,5.47247,6.404007,6.569651
4352,55,3.614713,4.837731,5.021605
4354,65,6.052989,7.166233,7.338128
4356,118,4.133187,5.151498,5.338198
4358,50,6.37084,7.155546,7.338266
4360,70,5.269481,6.481698,6.676568
4362,102,6.052978,7.161941,7.338258
4364,53,5.802346,6.835398,7.00754
4366,60,5.93119,7.140075,7.338366
4368,136,5.06064,6.163654,6.346091
4370,76,6.133137,7.14957,7.338337
4372,55,6.085323,6.84041,7.007617
4374,102,3.095637,4.030052,4.193426
4376,59,5.2698,6.484219,6.677053
4378,60,6.052956,7.163798,7.338513
4380,140,5.802434,6.836042,7.007885
4382,65,6.370603,7.190971,7.338692
4384,50,4.918139,5.831636,6.016077
4386,117,6.280387,7.166338,7.338762
4388,48,6.156036,6.853988,7.00805
4390,73,6.34411,7.162561,7.338756
4392,106,5.185457,5.992209,6.153818
4394,55,3.484938,4.701372,4.892466
4396,69,5.722407,6.833811,7.008326
4398,106,6.133038,7.171147,7.338916
4400,81,4.172418,5.405513,5.580164
4402,58,6.052923,7.139388,7.338803
4404,113,5.802564,6.847591,7.008559
4406,51,6.563741,7.183752,7.33913
4408,62,5.579681,6.495281,6.678137
4410,171,4.82899,5.723475,5.887983
4412,45,5.600896,6.845575,7.008756
4414,49,6.052907,7.149423,7.339273
4416,111,4.481246,5.521683,5.687578
4418,49,4.811067,5.380585,5.504464
4420,86,5.910129,6.840294,7.009069
4422,113,6.28012,7.185035,7.339365
4424,69,5.270751,6.5102,6.678898
4426,54,5.931304,7.122823,7.339486
4428,108,4.675816,5.778769,5.962448
4430,70,6.132926,7.185081,7.339495
4432,53,5.249752,6.150254,6.348318
4434,105,6.24035,7.16463,7.339628
4436,53,5.949848,6.831312,7.009223
4438,70,6.343674,7.159249,7.339405
4440,138,5.683391,6.517641,6.679456
4442,50,6.370016,7.168993,7.33977
4444,60,5.601241,6.824272,7.009698
4446,125,5.529699,6.654173,6.816665
4448,46,4.812616,5.878634,6.019531
4450,77,5.16501,6.393858,6.573566
