N,p,q,type,rad_odd_pq,conductor_proxy,rho
8192,1507,6685,Composite,10074295,101491419747025,3.579104
8192,1508,6684,Composite,629967,396858421089,2.963833
8192,1509,6683,Composite,10084647,101700105114609,3.579332
8192,1510,6682,Composite,2522455,6362779227025,3.271753
8192,1511,6681,Mixed,10094991,101908843290081,3.579559
8192,1512,6680,Composite,17535,307476225,2.168915
8192,1513,6679,Mixed,10105327,102117633776929,3.579787
8192,1514,6678,Composite,842541,709875336681,3.028367
8192,1515,6677,Composite,10115655,102326476079025,3.580013
8192,1516,6676,Composite,632551,400120767601,2.964742
8192,1517,6675,Composite,2025195,4101414788025,3.22302
8192,1518,6674,Composite,2532783,6414989725089,3.27266
8192,1519,6673,Mixed,1448041,2096822737681,3.148565
8192,1520,6672,Composite,39615,1569348225,2.349809
8192,1521,6671,Composite,260169,67687908561,2.767552
8192,1522,6670,Composite,2537935,6441114064225,3.273111
8192,1523,6669,Mixed,1128543,1273609302849,3.093235
8192,1524,6668,Composite,635127,403386306129,2.965644
8192,1525,6667,Composite,2033435,4134857899225,3.223921
8192,1526,6666,Composite,2543079,6467250800241,3.273561
8192,1527,6665,Composite,10177455,103580590277025,3.581365
8192,1528,6664,Composite,22729,516607441,2.226499
8192,1529,6663,Composite,10187727,103789781426529,3.581589
8192,1530,6662,Composite,849405,721488854025,3.030168
8192,1531,6661,Goldbach,10197991,103999020436081,3.581813
8192,1532,6660,Composite,212565,45183879225,2.722699
8192,1533,6659,Mixed,10208247,104208306813009,3.582036
8192,1534,6658,Composite,2553343,6519560475649,3.274455
8192,1535,6657,Composite,10218495,104417640065025,3.582258
8192,1536,6656,Composite,39,1521,0.813139
8192,1537,6655,Composite,84535,7146166225,2.51804
8192,1538,6654,Composite,2558463,6545732922369,3.274899
8192,1539,6653,Mixed,379221,143808566841,2.851181
8192,1540,6652,Composite,640255,409926465025,2.967429
8192,1541,6651,Composite,3416397,11671768461609,3.339084
8192,1542,6650,Composite,512715,262876671225,2.918123
8192,1543,6649,Mixed,10259407,105255431991649,3.583145
8192,1544,6648,Composite,160383,25722706689,2.660179
8192,1545,6647,Composite,604095,364930769025,2.954526
8192,1546,6646,Composite,2568679,6598111805041,3.275784
8192,1547,6645,Composite,10279815,105674596434225,3.583586
8192,1548,6644,Composite,214269,45911204361,2.724471
8192,1549,6643,Mixed,10290007,105884244060049,3.583806
8192,1550,6642,Composite,19065,363474225,2.187483
8192,1551,6641,Composite,10300191,106093934636481,3.584026
8192,1552,6640,Composite,40255,1620465025,2.353366
8192,1553,6639,Mixed,10310367,106303667674689,3.584245
8192,1554,6638,Composite,2578863,6650534372769,3.276662
8192,1555,6637,Mixed,10320535,106513442686225,3.584464
8192,1556,6636,Composite,645351,416477913201,2.969188
8192,1557,6635,Composite,3443565,11858139909225,3.340842
8192,1558,6634,Composite,2583943,6676761427249,3.277099
8192,1559,6633,Mixed,3446949,11881457408601,3.34106
8192,1560,6632,Composite,161655,26132339025,2.661932
8192,1561,6631,Composite,10350991,107143014682081,3.585118
8192,1562,6630,Composite,2589015,6702998670225,3.277534
8192,1563,6629,Composite,10361127,107352952710129,3.585335
8192,1564,6628,Composite,647887,419757564769,2.970059
8192,1565,6627,Composite,220665,48693042225,2.731
8192,1566,6626,Composite,288231,83077109361,2.790287
8192,1567,6625,Mixed,415255,172436715025,2.871329
8192,1568,6624,Composite,483,233289,1.371674
8192,1569,6623,Composite,10391487,107983002071169,3.585984
8192,1570,6622,Composite,2599135,6755502748225,3.2784
8192,1571,6621,Mixed,10401591,108193095331281,3.5862
8192,1572,6620,Composite,650415,423039672225,2.970923
8192,1573,6619,Mixed,946517,895894431289,3.054195
8192,1574,6618,Composite,2604183,6781769097489,3.278831
8192,1575,6617,Composite,694785,482726196225,2.98557
8192,1576,6616,Composite,162919,26542600561,2.663661
8192,1577,6615,Composite,165585,27418392225,2.667263
8192,1578,6614,Composite,2609223,6808044663729,3.27926
8192,1579,6613,Mixed,10441927,109033839473329,3.587059
8192,1580,6612,Composite,652935,426324114225,2.971782
8192,1581,6611,Composite,10451991,109244115864081,3.587273
8192,1582,6610,Composite,2614255,6834329205025,3.279687
8192,1583,6609,Mixed,10462047,109454427430209,3.587486
8192,1584,6608,Composite,13629,185749641,2.112983
8192,1585,6607,Mixed,10472095,109664773689025,3.5877
8192,1586,6606,Composite,873093,762291386649,3.036273
8192,1587,6605,Composite,455745,207703505025,2.89198
8192,1588,6604,Composite,655447,429610769809,2.972634
8192,1589,6603,Composite,10492167,110085568355889,3.588125
8192,1590,6602,Composite,2624295,6886924247025,3.280538
8192,1591,6601,Composite,10502191,110296015800481,3.588336
8192,1592,6600,Composite,32835,1078137225,2.308146
8192,1593,6599,Mixed,1168023,1364277728529,3.100867
8192,1594,6598,Composite,2629303,6913234265809,3.280961
8192,1595,6597,Composite,3507405,12301889834025,3.344919
8192,1596,6596,Composite,657951,432899518401,2.97348
8192,1597,6595,Mixed,10532215,110927552806225,3.58897
8192,1598,6594,Composite,2634303,6939552295809,3.281383
8192,1599,6593,Composite,10542207,111138128430849,3.589181
8192,1600,6592,Composite,515,265225,1.385912
8192,1601,6591,Mixed,62439,3898628721,2.450794
8192,1602,6590,Composite,879765,773986455225,3.037963
8192,1603,6589,Composite,10562167,111559371735889,3.5896
8192,1604,6588,Composite,73383,5385064689,2.48664
8192,1605,6587,Composite,10572135,111770038458225,3.58981
8192,1606,6586,Composite,2644279,6992211429841,3.282222
8192,1607,6585,Mixed,10582095,111980734589025,3.590019
8192,1608,6584,Composite,165423,27364768929,2.667046
8192,1609,6583,Mixed,10592047,112191459650209,3.590227
8192,1610,6582,Composite,2649255,7018552055025,3.282639
8192,1611,6581,Mixed,3533997,12489134796009,3.346595
8192,1612,6580,Composite,662935,439482814225,2.975155
8192,1613,6579,Mixed,3537309,12512554961481,3.346803
8192,1614,6578,Composite,2654223,7044899733729,3.283055
8192,1615,6577,Mixed,10621855,112823803641025,3.590851
8192,1616,6576,Composite,41511,1723163121,2.360186
8192,1617,6575,Composite,303765,92273175225,2.801938
8192,1618,6574,Composite,2659183,7071254227489,3.283469
8192,1619,6573,Mixed,10641687,113245502205969,3.591265
8192,1620,6572,Composite,24645,607376025,2.244463
8192,1621,6571,Goldbach,10651591,113456390831281,3.591472
8192,1622,6570,Composite,888045,788623922025,3.040042
8192,1623,6569,Mixed,10661487,113667305051169,3.591678
8192,1624,6568,Composite,166663,27776555569,2.668704
8192,1625,6567,Composite,426855,182205191025,2.877444
8192,1626,6566,Composite,381297,145387402209,2.852393
8192,1627,6565,Mixed,10681255,114089208375025,3.592089
8192,1628,6564,Composite,667887,446073044769,2.976807
8192,1629,6563,Mixed,3563709,12700021836681,3.348454
8192,1630,6562,Composite,2674015,7150356220225,3.284704
8192,1631,6561,Composite,4893,23941449,1.885616
8192,1632,6560,Composite,10455,109307025,2.054139
8192,1633,6559,Composite,10710847,114722243457409,3.592703
8192,1634,6558,Composite,2678943,7176735597249,3.285113
8192,1635,6557,Composite,10720695,114933301283025,3.592907
8192,1636,6556,Composite,670351,449370463201,2.977624
8192,1637,6555,Mixed,10730535,115144381386225,3.593111
8192,1638,6554,Composite,894621,800346733641,3.04168
8192,1639,6553,Mixed,10740367,115355483294689,3.593314
8192,1640,6552,Composite,55965,3132081225,2.426498
8192,1641,6551,Mixed,10750191,115566606536481,3.593517
8192,1642,6550,Composite,537755,289180440025,2.928706
8192,1643,6549,Composite,10760007,115777750640049,3.593719
8192,1644,6548,Composite,672807,452669259249,2.978436
8192,1645,6547,Mixed,10769815,115988915134225,3.593922
8192,1646,6546,Composite,2693679,7255906555041,3.28633
8192,1647,6545,Composite,1197735,1434569130225,3.106443
8192,1648,6544,Composite,42127,1774684129,2.363455
8192,1649,6543,Composite,3596469,12934589267961,3.350485
8192,1650,6542,Composite,539715,291292281225,2.929514
